year,duration_sec,duration_min,danceability,energy,tempo,acousticness,loudness,valence,track_count,duration_sec_ma5,duration_sec_ma10,danceability_ma5,acousticness_ma5,duration_yoy_pct
1985,250.13110055027514,4.168851675837919,0.5587338169084541,0.6120015707853926,122.01485992996497,0.2786156055327664,-11.168046023011506,0.5708463731865934,1999,250.40747632637394,252.6139585803002,0.55095193057273,0.2803242313506007,-0.22278895241264474
1986,252.5552951475738,4.20925491912623,0.5446171085542771,0.6218295147573787,120.93253826913457,0.27168072855927966,-10.987176588294146,0.5531854927463732,1999,250.93867320050026,251.51975402692133,0.551419863561781,0.2763076238855143,0.9691696042457565
1987,248.81038219109556,4.146839703184926,0.5431503251625812,0.5879219059529764,120.42624862431215,0.3007387875737869,-11.521573286643322,0.5427317158579289,1999,250.71960393871936,250.6958492029878,0.5469038585942971,0.27980556179827165,-1.4828091227665596
1988,254.93686943471738,4.248947823911956,0.5450612806403202,0.5934696448224112,120.48001700850425,0.3023438369484742,-11.466652326163082,0.5540641370685343,1999,251.42465132566286,250.9690017964596,0.5463094447223612,0.28485539793296644,2.462311737022471
1989,253.7294234234234,4.228823723723724,0.5520544044044043,0.5919728678678678,120.64519569569569,0.2996794606156156,-11.305667667667667,0.5584707207207207,1998,252.03261414941707,251.1618391388019,0.5487233871340074,0.29061168384598457,-0.4736254955869268
1990,258.4343088088088,4.307238480146813,0.5453502002002002,0.5877831831831831,120.02676476476476,0.30376779985485486,-11.102922422422422,0.5342062062062062,1998,253.69325580112383,252.05036606374887,0.5460466637923567,0.29564212271040224,1.8542923882871376
1991,244.29282800000001,4.0715471333333335,0.56122825,0.5660222199999999,119.776355,0.3159683435,-10.835189,0.5542273,2000,252.04076237160902,251.48971778605465,0.5493688920815012,0.3044996456985464,-5.471982754143811
1992,243.97427127127125,4.066237854521188,0.5639407907907907,0.5899552502502502,122.59111311311311,0.30661516648148146,-10.448962462462461,0.5646341841841842,1998,251.07354018764417,250.89657206318174,0.553526985207143,0.30567492148008524,-0.13039954195002146
1993,252.29015857928965,4.204835976321494,0.5746744372186093,0.572197603801901,119.93928214107054,0.29068316330165084,-10.765454227113556,0.5587039019509754,1999,250.54419801655862,250.98442467111073,0.5594496165228009,0.30334278675072057,3.4085099484822745
1994,252.17756649999998,4.202959441666667,0.5593907,0.5906283395,118.4363855,0.288333827905,-10.080787,0.53697305,2000,250.23382663187394,251.1332203906455,0.56091687564192,0.30107366020859744,-0.04462801082836254
1995,248.5559619809905,4.142599366349842,0.5650939969984993,0.5891163731865933,119.20982041020511,0.28509754087043526,-9.862550775387694,0.5376231615807904,1999,248.25815726631026,250.97570653371704,0.5648656350015799,0.29733960841171353,-1.4361327096910848
